feature,avg_rank,avg_importance,std_importance
fv_frac_positive,1.0,0.179750169352982,0.022874956148677135
fv_pI,3.6,0.05781482490007846,0.025807200946227158
vh_aromaticity,4.8,0.046618587869044006,0.015548535260369164
fv_hydrophobic_count,7.0,0.040916140289469716,0.01796933892115393
HCDR3_gravy,11.2,0.02135976716038198,0.006635557274832627
vl_instability,11.4,0.021251679664699038,0.006254698183512326
vh_molar_extinction_reduced,12.0,0.027406335001074967,0.016547292032635254
vh_hydrophobic_count,13.4,0.032379041919143856,0.018773229911212237
vh_frac_positive,13.8,0.03169934269296545,0.030772630745889443
vl_turn,15.4,0.02160253140332708,0.011992671204943559
vh_molecular_weight,16.8,0.01865466509914658,0.011673615148541963
vh_molar_extinction_oxidized,17.6,0.02554743760086182,0.02058922574192891
vl_frac_polar,18.2,0.013495406568589597,0.0032867756381900295
vh_turn,19.6,0.013668016545749773,0.007912193018531105
fv_gravy,20.2,0.014688174344414781,0.009532855951271573
fv_frac_negative,22.6,0.0209092858951626,0.01734635492497308
fv_charge_pH7,23.4,0.012267460101550227,0.007460729562090355
HCDR3_hydrophobic_moment,24.0,0.009449731800980023,0.001968494015308744
vh_pI,24.2,0.011338582024087262,0.004640654735380674
Y_vh_protein_sequence,25.0,0.012856529820235735,0.005970841633529712
HCDR3_aromaticity,25.4,0.010309354575739857,0.005641755143724173
vl_frac_positive,25.6,0.012046791231999908,0.006077771890461802
HCDR3_hydrophobic_count,27.0,0.012058738461949608,0.010849736522600802
vh_aromatic_count,27.0,0.013630717187192831,0.010686610535852806
vh_sheet,29.8,0.01086055078157713,0.0076709186458923965
vl_frac_special,30.0,0.019562913964868832,0.028077075057173134
fv_frac_special,32.0,0.007186343459227339,0.0022523205996970463
vh_length,33.2,0.011563848137994428,0.012610301054082049
LCDR1_aromaticity,35.4,0.006359968127717934,0.0016030103682477003
R_vh_protein_sequence,35.6,0.009318892346881902,0.008425109976186021
HCDR3_hydrophobic_density,37.2,0.006781911922612761,0.003207136301838156
vl_frac_negative,38.2,0.0057578735588194,0.001329085258454344
fv_frac_polar,38.2,0.005905555483186003,0.0015394716382178058
vl_aromaticity,38.4,0.007172332345783549,0.003562409432982447
vl_molar_extinction_oxidized,39.4,0.009037099692812826,0.008175895570867859
vh_gravy,39.8,0.006584290325611602,0.003984956353148339
vh_vl_hydrophobicity_ratio,40.2,0.006119656471425738,0.0030406251746465576
IgG4_hc_subtype,40.6,0.006248542754571117,0.004191624606281651
vl_gravy,40.6,0.007482796313964072,0.005298477371866115
fv_length,42.2,0.0063012633986518785,0.00418237082240208
vh_frac_negative,42.8,0.006310437345673927,0.003351053445038963
HCDR3_length,43.0,0.007126420632192906,0.006631896642505063
LCDR1_gravy,43.4,0.005005822371200249,0.0019273966328305192
vl_helix,44.8,0.004883833071011779,0.001484862254667279
vh_instability,45.0,0.005085158131095276,0.0017608353923638756
G_vl_protein_sequence,45.0,0.00821489091813353,0.008817500197215843
vl_molecular_weight,45.2,0.004615949034377469,0.0018419075794852136
Y_vl_protein_sequence,46.2,0.004520957634727564,0.001219885468824951
vh_vl_hydrophobicity_gap,46.6,0.004699603496042334,0.0018723158722203804
HCDR3_terminal_hydrophobicity,46.8,0.0050444634809740955,0.0023534465440103454
vh_ph_7_35_charge,48.0,0.00548570954113412,0.003856933986158816
V_vl_protein_sequence,48.0,0.004434279210522033,0.0015302595534858595
L_vh_protein_sequence,48.4,0.004769653825273565,0.0029670520484973207
vh_frac_special,51.4,0.004340441343144668,0.0020271370189101534
vh_helix,51.4,0.004231299161501748,0.0016754418296151348
LCDR1_terminal_hydrophobicity,53.2,0.0036828774681396475,0.0011420752766618874
vl_hydrophobic_count,53.2,0.006741148067431729,0.008106138537819756
vl_molar_extinction_reduced,55.4,0.00589958089548774,0.006338658671981201
vh_frac_polar,55.8,0.003613679258216636,0.0012412169556026815
N_vh_protein_sequence,56.8,0.0035385606218466615,0.0011943882840920524
HCDR3_hydrophobic_cluster_count,57.8,0.004528750474454649,0.004202157745987243
M_vl_protein_sequence,61.0,0.003002582898960865,0.001997456305940362
LCDR1_hydrophobic_moment,64.2,0.0027022986184106765,0.0007394096257457075
HCDR3_hydrophobic_cluster_max_len,64.2,0.003110837729486858,0.002245219025213301
vl_pI,64.6,0.0025561707214432623,0.0006716673472987368
vh_aliphatic_count,65.6,0.002626390435475536,0.0005373801996734889
vh_charge_pH7,65.6,0.002887365577455001,0.001395476088733418
Q_vh_protein_sequence,66.4,0.002333687700325129,0.0007834077612545293
L_vl_protein_sequence,66.6,0.0025855606516507505,0.0007858329282478897
I_vh_protein_sequence,67.2,0.002386360990140879,0.0009816471834328334
vh_ph_7_45_charge,67.2,0.0034181054963361253,0.0030002778303465237
S_vh_protein_sequence,68.8,0.0023048619507487593,0.0007305692950502218
vl_sheet,68.8,0.002735788574069678,0.002328602929392678
LCDR1_hydrophobic_cluster_max_len,75.2,0.0030909349559600924,0.00395905283247268
R_vl_protein_sequence,75.6,0.0020169679090605267,0.0008559739128332313
N_vl_protein_sequence,76.2,0.0019951031983222864,0.0011861338327959325
A_vh_protein_sequence,76.6,0.0018808109762410105,0.0006965096188938671
F_vl_protein_sequence,77.0,0.002038621591242038,0.0019231817093128764
K_vl_protein_sequence,77.4,0.0017741799289867442,0.0007967742433053576
S_vl_protein_sequence,78.4,0.0017485295895640185,0.0006546539883126762
vl_ph_7_35_charge,79.8,0.0016020373345705433,0.0004971382213043353
P_vh_protein_sequence,80.8,0.001887134227035928,0.0015323759545138051
D_vh_protein_sequence,81.4,0.0015608767460933187,0.0005350725610679896
vl_charge_pH7,81.4,0.0016279401066212236,0.0007344475964248519
vl_ph_7_45_charge,82.8,0.0014730671802983717,0.0004665678061802356
T_vh_protein_sequence,84.8,0.001465200943215762,0.001062141221372448
D_vl_protein_sequence,86.0,0.001324063071602851,0.0005664559346334468
LCDR1_hydrophobic_count,86.4,0.0013773013244822428,0.0007278244519181393
E_vl_protein_sequence,86.4,0.0013339711133516206,0.001129007546813353
F_vh_protein_sequence,87.0,0.0013706463315040465,0.001079785991530979
vl_aromatic_count,88.2,0.0011864887926581874,0.0007102679353151912
P_vl_protein_sequence,88.8,0.0011280937250508038,0.0003177195333132562
LCDR1_hydrophobic_density,89.0,0.001179042443231046,0.0005038244042237992
G_vh_protein_sequence,90.4,0.0011214760815228249,0.0011275435466155412
V_vh_protein_sequence,90.4,0.0010908006845735375,0.0003068549999908452
Q_vl_protein_sequence,92.4,0.0008571962368720834,0.00038438362440394903
vl_aliphatic_count,92.6,0.0010567324106101755,0.0009922150036133649
E_vh_protein_sequence,92.8,0.0009807729051161244,0.0008808104537966691
M_vh_protein_sequence,93.0,0.0009617100090852813,0.00035424271561944185
I_vl_protein_sequence,95.4,0.0009422346995842268,0.000995588914543967
H_vh_protein_sequence,97.2,0.0008544103155142911,0.0006801545488278293
A_vl_protein_sequence,98.2,0.0007762322764122487,0.0003634912557569738
K_vh_protein_sequence,99.0,0.000664985787213032,0.0005047488075591152
T_vl_protein_sequence,99.4,0.0005864978683427743,0.0004646600852827173
HCDR3_aromatic_cluster,101.2,0.0005201654865104879,0.0001406672108329977
vl_length,101.4,0.0005856340941418647,0.0004496554335191088
LCDR1_length,101.8,0.0004886158376216815,0.0003900331557870409
W_vl_protein_sequence,102.2,0.000502344521958098,0.0004584313933364417
H_vl_protein_sequence,103.2,0.00043886197474303257,0.0002326444255301798
W_vh_protein_sequence,104.8,0.000423653814689065,0.00022112303136339597
IgG1_hc_subtype,106.8,0.0003044727892500709,0.0002644449025393728
LCDR1_hydrophobic_cluster_count,110.2,0.0002239023939910938,0.00016382084889173884
Kappa_lc_subtype,113.3,7.830507411293916e-05,0.00017509546869969101
IgG2_hc_subtype,113.7,5.7985954958120604e-05,8.251108678538584e-05
Lambda_lc_subtype,114.6,3.531937046474817e-05,7.897651328167524e-05
C_vl_protein_sequence,115.2,0.0,0.0
C_vh_protein_sequence,115.2,0.0,0.0
